year,yr_sch,yr_sch_pri,yr_sch_sec,yr_sch_ter,country
2006,13.011,5.96,5.52,1.531,USA
2007,13.011,5.96,5.52,1.531,USA
2008,13.011,5.96,5.52,1.531,USA
2009,13.011,5.96,5.52,1.531,USA
2010,13.245,5.967,5.615,1.662,USA
2011,13.245,5.967,5.615,1.662,USA
2012,13.245,5.967,5.615,1.662,USA
2013,13.245,5.967,5.615,1.662,USA
2014,13.245,5.967,5.615,1.662,USA
2015,13.275,5.956,5.613,1.706,USA
2016,13.275,5.956,5.613,1.706,USA
2017,13.275,5.956,5.613,1.706,USA
2018,13.275,5.956,5.613,1.706,USA
2019,13.275,5.956,5.613,1.706,USA
2020,13.275,5.956,5.613,1.706,USA
2021,13.275,5.956,5.613,1.706,USA
2022,13.275,5.956,5.613,1.706,USA
2000,4.558,3.889,0.558,0.111,UGA
2001,4.558,3.889,0.558,0.111,UGA
2002,4.558,3.889,0.558,0.111,UGA
2003,4.558,3.889,0.558,0.111,UGA
2004,4.558,3.889,0.558,0.111,UGA
2005,5.112,4.168,0.861,0.083,UGA
2006,5.112,4.168,0.861,0.083,UGA
2007,5.112,4.168,0.861,0.083,UGA
2008,5.112,4.168,0.861,0.083,UGA
2009,5.112,4.168,0.861,0.083,UGA
2010,5.865,4.549,1.252,0.063,UGA
2011,5.865,4.549,1.252,0.063,UGA
2012,5.865,4.549,1.252,0.063,UGA
2013,5.865,4.549,1.252,0.063,UGA
2014,5.865,4.549,1.252,0.063,UGA
2015,5.761,4.412,1.219,0.13,UGA
2016,5.761,4.412,1.219,0.13,UGA
2017,5.761,4.412,1.219,0.13,UGA
2018,5.761,4.412,1.219,0.13,UGA
2019,5.761,4.412,1.219,0.13,UGA
2020,5.761,4.412,1.219,0.13,UGA
2021,5.761,4.412,1.219,0.13,UGA
2022,5.761,4.412,1.219,0.13,UGA
2000,11.343,5.408,4.713,1.222,UKR
2001,11.343,5.408,4.713,1.222,UKR
2002,11.343,5.408,4.713,1.222,UKR
2003,11.343,5.408,4.713,1.222,UKR
2004,11.343,5.408,4.713,1.222,UKR
2005,11.518,5.415,4.823,1.28,UKR
2006,11.518,5.415,4.823,1.28,UKR
2007,11.518,5.415,4.823,1.28,UKR
2008,11.518,5.415,4.823,1.28,UKR
2009,11.518,5.415,4.823,1.28,UKR
2010,11.533,5.299,4.858,1.377,UKR
2011,11.533,5.299,4.858,1.377,UKR
2012,11.533,5.299,4.858,1.377,UKR
2013,11.533,5.299,4.858,1.377,UKR
2014,11.533,5.299,4.858,1.377,UKR
2015,11.568,5.322,4.812,1.434,UKR
2016,11.568,5.322,4.812,1.434,UKR
2017,11.568,5.322,4.812,1.434,UKR
2018,11.568,5.322,4.812,1.434,UKR
2019,11.568,5.322,4.812,1.434,UKR
2020,11.568,5.322,4.812,1.434,UKR
2021,11.568,5.322,4.812,1.434,UKR
2022,11.568,5.322,4.812,1.434,UKR
2000,8.508,4.665,3.31,0.534,ARE
2001,8.508,4.665,3.31,0.534,ARE
2002,8.508,4.665,3.31,0.534,ARE
2003,8.508,4.665,3.31,0.534,ARE
2004,8.508,4.665,3.31,0.534,ARE
2005,8.989,5.063,3.427,0.498,ARE
2006,8.989,5.063,3.427,0.498,ARE
2007,8.989,5.063,3.427,0.498,ARE
2008,8.989,5.063,3.427,0.498,ARE
2009,8.989,5.063,3.427,0.498,ARE
2010,9.12,5.096,3.552,0.471,ARE
2011,9.12,5.096,3.552,0.471,ARE
2012,9.12,5.096,3.552,0.471,ARE
2013,9.12,5.096,3.552,0.471,ARE
2014,9.12,5.096,3.552,0.471,ARE
2015,11.736,5.486,4.492,1.759,ARE
2016,11.736,5.486,4.492,1.759,ARE
2017,11.736,5.486,4.492,1.759,ARE
2018,11.736,5.486,4.492,1.759,ARE
2019,11.736,5.486,4.492,1.759,ARE
2020,11.736,5.486,4.492,1.759,ARE
2021,11.736,5.486,4.492,1.759,ARE
2022,11.736,5.486,4.492,1.759,ARE
2000,9.974,5.632,3.619,0.723,GBR
2001,9.974,5.632,3.619,0.723,GBR
2002,9.974,5.632,3.619,0.723,GBR
2003,9.974,5.632,3.619,0.723,GBR
2004,9.974,5.632,3.619,0.723,GBR
2005,11.572,5.817,4.944,0.811,GBR
2006,11.572,5.817,4.944,0.811,GBR
2007,11.572,5.817,4.944,0.811,GBR
2008,11.572,5.817,4.944,0.811,GBR
2009,11.572,5.817,4.944,0.811,GBR
2010,12.46,5.915,5.671,0.874,GBR
2011,12.46,5.915,5.671,0.874,GBR
2012,12.46,5.915,5.671,0.874,GBR
2013,12.46,5.915,5.671,0.874,GBR
2014,12.46,5.915,5.671,0.874,GBR
2015,12.851,5.942,5.684,1.225,GBR
2016,12.851,5.942,5.684,1.225,GBR
2017,12.851,5.942,5.684,1.225,GBR
2018,12.851,5.942,5.684,1.225,GBR
2019,12.851,5.942,5.684,1.225,GBR
2020,12.851,5.942,5.684,1.225,GBR
2021,12.851,5.942,5.684,1.225,GBR
2022,12.851,5.942,5.684,1.225,GBR
2000,4.882,4.598,0.262,0.023,TZA
2001,4.882,4.598,0.262,0.023,TZA
2002,4.882,4.598,0.262,0.023,TZA
2003,4.882,4.598,0.262,0.023,TZA
2004,4.882,4.598,0.262,0.023,TZA
2005,5.308,4.924,0.362,0.022,TZA
2006,5.308,4.924,0.362,0.022,TZA
2007,5.308,4.924,0.362,0.022,TZA
2008,5.308,4.924,0.362,0.022,TZA
2009,5.308,4.924,0.362,0.022,TZA
2010,6.032,5.408,0.601,0.023,TZA
2011,6.032,5.408,0.601,0.023,TZA
2012,6.032,5.408,0.601,0.023,TZA
2013,6.032,5.408,0.601,0.023,TZA
2014,6.032,5.408,0.601,0.023,TZA
2015,6.507,5.536,0.914,0.058,TZA
2016,6.507,5.536,0.914,0.058,TZA
2017,6.507,5.536,0.914,0.058,TZA
2018,6.507,5.536,0.914,0.058,TZA
2019,6.507,5.536,0.914,0.058,TZA
2020,6.507,5.536,0.914,0.058,TZA
2021,6.507,5.536,0.914,0.058,TZA
2022,6.507,5.536,0.914,0.058,TZA
2000,8.355,5.564,2.47,0.322,URY
2001,8.355,5.564,2.47,0.322,URY
2002,8.355,5.564,2.47,0.322,URY
2003,8.355,5.564,2.47,0.322,URY
2004,8.355,5.564,2.47,0.322,URY
2005,8.498,5.724,2.518,0.256,URY
2006,8.498,5.724,2.518,0.256,URY
2007,8.498,5.724,2.518,0.256,URY
2008,8.498,5.724,2.518,0.256,URY
2009,8.498,5.724,2.518,0.256,URY
2010,8.614,5.77,2.601,0.244,URY
2011,8.614,5.77,2.601,0.244,URY
2012,8.614,5.77,2.601,0.244,URY
2013,8.614,5.77,2.601,0.244,URY
2014,8.614,5.77,2.601,0.244,URY
2015,8.943,5.829,2.689,0.425,URY
2016,8.943,5.829,2.689,0.425,URY
2017,8.943,5.829,2.689,0.425,URY
2018,8.943,5.829,2.689,0.425,URY
2019,8.943,5.829,2.689,0.425,URY
2020,8.943,5.829,2.689,0.425,URY
2021,8.943,5.829,2.689,0.425,URY
2022,8.943,5.829,2.689,0.425,URY
2000,7.005,4.745,1.947,0.313,VEN
2001,7.005,4.745,1.947,0.313,VEN
2002,7.005,4.745,1.947,0.313,VEN
2003,7.005,4.745,1.947,0.313,VEN
2004,7.005,4.745,1.947,0.313,VEN
2005,7.8,5.075,2.366,0.359,VEN
2006,7.8,5.075,2.366,0.359,VEN
2007,7.8,5.075,2.366,0.359,VEN
2008,7.8,5.075,2.366,0.359,VEN
2009,7.8,5.075,2.366,0.359,VEN
2010,8.781,5.467,2.972,0.343,VEN
2011,8.781,5.467,2.972,0.343,VEN
2012,8.781,5.467,2.972,0.343,VEN
2013,8.781,5.467,2.972,0.343,VEN
2014,8.781,5.467,2.972,0.343,VEN
2015,10.209,5.707,3.551,0.95,VEN
2016,10.209,5.707,3.551,0.95,VEN
2017,10.209,5.707,3.551,0.95,VEN
2018,10.209,5.707,3.551,0.95,VEN
2019,10.209,5.707,3.551,0.95,VEN
2020,10.209,5.707,3.551,0.95,VEN
2021,10.209,5.707,3.551,0.95,VEN
2022,10.209,5.707,3.551,0.95,VEN
2000,5.828,4.007,1.693,0.128,VNM
2001,5.828,4.007,1.693,0.128,VNM
2002,5.828,4.007,1.693,0.128,VNM
2003,5.828,4.007,1.693,0.128,VNM
2004,5.828,4.007,1.693,0.128,VNM
2005,6.553,4.023,2.358,0.171,VNM
2006,6.553,4.023,2.358,0.171,VNM
2007,6.553,4.023,2.358,0.171,VNM
2008,6.553,4.023,2.358,0.171,VNM
2009,6.553,4.023,2.358,0.171,VNM
2010,7.24,4.014,3.038,0.188,VNM
2011,7.24,4.014,3.038,0.188,VNM
2012,7.24,4.014,3.038,0.188,VNM
2013,7.24,4.014,3.038,0.188,VNM
2014,7.24,4.014,3.038,0.188,VNM
2015,7.771,4.128,3.422,0.221,VNM
2016,7.771,4.128,3.422,0.221,VNM
2017,7.771,4.128,3.422,0.221,VNM
2018,7.771,4.128,3.422,0.221,VNM
2019,7.771,4.128,3.422,0.221,VNM
2020,7.771,4.128,3.422,0.221,VNM
2021,7.771,4.128,3.422,0.221,VNM
2022,7.771,4.128,3.422,0.221,VNM
2000,2.454,1.692,0.706,0.056,YEM
2001,2.454,1.692,0.706,0.056,YEM
2002,2.454,1.692,0.706,0.056,YEM
2003,2.454,1.692,0.706,0.056,YEM
2004,2.454,1.692,0.706,0.056,YEM
2005,3.123,2.06,0.991,0.072,YEM
2006,3.123,2.06,0.991,0.072,YEM
2007,3.123,2.06,0.991,0.072,YEM
2008,3.123,2.06,0.991,0.072,YEM
2009,3.123,2.06,0.991,0.072,YEM
2010,3.842,2.516,1.236,0.09,YEM
2011,3.842,2.516,1.236,0.09,YEM
2012,3.842,2.516,1.236,0.09,YEM
2013,3.842,2.516,1.236,0.09,YEM
2014,3.842,2.516,1.236,0.09,YEM
2015,4.74,3.059,1.469,0.212,YEM
2016,4.74,3.059,1.469,0.212,YEM
2017,4.74,3.059,1.469,0.212,YEM
2018,4.74,3.059,1.469,0.212,YEM
2019,4.74,3.059,1.469,0.212,YEM
2020,4.74,3.059,1.469,0.212,YEM
2021,4.74,3.059,1.469,0.212,YEM
2022,4.74,3.059,1.469,0.212,YEM
2000,6.349,5.206,1.093,0.05,ZMB
2001,6.349,5.206,1.093,0.05,ZMB
2002,6.349,5.206,1.093,0.05,ZMB
2003,6.349,5.206,1.093,0.05,ZMB
2004,6.349,5.206,1.093,0.05,ZMB
2005,6.586,5.419,1.128,0.039,ZMB
2006,6.586,5.419,1.128,0.039,ZMB
2007,6.586,5.419,1.128,0.039,ZMB
2008,6.586,5.419,1.128,0.039,ZMB
2009,6.586,5.419,1.128,0.039,ZMB
2010,7.402,5.868,1.503,0.031,ZMB
2011,7.402,5.868,1.503,0.031,ZMB
2012,7.402,5.868,1.503,0.031,ZMB
2013,7.402,5.868,1.503,0.031,ZMB
2014,7.402,5.868,1.503,0.031,ZMB
2015,7.988,6.079,1.846,0.063,ZMB
2016,7.988,6.079,1.846,0.063,ZMB
2017,7.988,6.079,1.846,0.063,ZMB
2018,7.988,6.079,1.846,0.063,ZMB
2019,7.988,6.079,1.846,0.063,ZMB
2020,7.988,6.079,1.846,0.063,ZMB
2021,7.988,6.079,1.846,0.063,ZMB
2022,7.988,6.079,1.846,0.063,ZMB
2000,7.264,5.051,2.179,0.035,ZWE
2001,7.264,5.051,2.179,0.035,ZWE
2002,7.264,5.051,2.179,0.035,ZWE
2003,7.264,5.051,2.179,0.035,ZWE
2004,7.264,5.051,2.179,0.035,ZWE
2005,7.654,5.498,2.128,0.028,ZWE
2006,7.654,5.498,2.128,0.028,ZWE
2007,7.654,5.498,2.128,0.028,ZWE
2008,7.654,5.498,2.128,0.028,ZWE
2009,7.654,5.498,2.128,0.028,ZWE
2010,7.862,5.894,1.944,0.024,ZWE
2011,7.862,5.894,1.944,0.024,ZWE
2012,7.862,5.894,1.944,0.024,ZWE
2013,7.862,5.894,1.944,0.024,ZWE
2014,7.862,5.894,1.944,0.024,ZWE
2015,8.125,5.902,1.978,0.245,ZWE
2016,8.125,5.902,1.978,0.245,ZWE
2017,8.125,5.902,1.978,0.245,ZWE
2018,8.125,5.902,1.978,0.245,ZWE
2019,8.125,5.902,1.978,0.245,ZWE
2020,8.125,5.902,1.978,0.245,ZWE
2021,8.125,5.902,1.978,0.245,ZWE
2022,8.125,5.902,1.978,0.245,ZWE
